Region_ID,Region_name,Region_class,Process_ID,Sv_mean,NASC,Height_mean,Depth_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,EV_filename,Noise_Sv_1m,Minimum_Sv_threshold_applied,Maximum_Sv_threshold_applied,Standard_deviation,Corrected_length,Corrected_thickness,3D_school_volume,ABC,Area_Backscatter_Strength,Species_Id,Species_name,Species_percent,Species_TS,Species_weight,Density_number,Density_weight,Thickness_mean,Range_mean,Exclude_below_line_range_mean,Exclude_above_line_range_mean
39,GRID_B_N_6_03_02,North Grid,251,-77.075108,38.781168,45.881733,35.348805,2775,3227,4.670737,20110603, 16:37:10.7590,48.15084021,-122.6877488,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.03_c.EV,-999,1,1,2.9798E-07,-9999,199.178015,-9999,8.99765E-07,-60.45870945,0,Unassigned,100,-40,1,30861.07324,30861.07324,45.881733,32.348805,54.513089,3.75
62,GRID_B_N_6_04_02,North Grid,254,-76.857332,42.747552,48.100838,34.644034,3543,3983,4.377121,20110604, 16:07:52.4570,48.15015098,-122.6878772,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,-999,1,1,1.47843E-07,-9999,199.178015,-9999,9.91789E-07,-60.03580586,0,Unassigned,100,-40,1,34017.42096,34017.42096,48.100838,31.644034,55.002803,3.75
106,GRID_B_N_NIGHT_6_04_02,North Grid Night,254,-73.168594,106.336501,51.174067,35.055172,35825,36487,43.251179,20110605, 01:17:05.5750,48.15086911,-122.6883006,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.04_c.EV,-999,1,1,5.70961E-07,-9999,199.178015,-9999,2.46712E-06,-56.07809468,0,Unassigned,100,-40,1,84619.89885,84619.89885,51.174067,32.055172,56.662442,3.75
40,GRID_B_N_6_06_02,North Grid,259,-79.515589,22.512883,46.719495,35.814679,3167,3618,6.909213,20110606, 18:15:15.7540,48.15063115,-122.687659,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.06_c.EV,-999,1,1,1.50971E-07,-9999,199.178015,-9999,5.22323E-07,-62.82060714,0,Unassigned,100,-40,1,17915.18331,17915.18331,46.719495,32.814679,55.451158,3.75
91,GRID_B_N_6_07_02,North Grid,262,-73.466351,76.697787,39.529935,35.684826,24060,24589,26.394266,20110607, 13:14:29.7410,48.15129167,-122.6873867,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.07_c.EV,-999,1,1,2.24156E-06,-9999,199.178015,-9999,1.77947E-06,-57.49708999,0,Unassigned,100,-40,1,61034.1599,61034.1599,39.529935,32.684826,52.676903,3.75
111,GRID_B_N_6_08_02,North Grid,265,-77.971357,31.588171,45.937603,36.170241,24834,25318,34.229786,20110608, 14:50:09.6230,48.15073981,-122.6887572,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.08_c.EV,-999,1,1,1.04122E-06,-9999,199.178015,-9999,7.3288E-07,-61.34967359,0,Unassigned,100,-40,1,25137.0675,25137.0675,45.937603,33.170241,55.837422,3.75
122,GRID_B_N_6_09_02,North Grid,268,-67.719827,351.079897,48.183336,35.13069,3890,4319,5.907572,20110609, 14:44:46.4930,48.15054417,-122.6883505,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.09_c.EV,-999,1,1,4.05033E-06,1349.466652,199.178015,2638873.799,8.14543E-06,-50.89085872,0,Unassigned,100,-40,1,279380.5051,279380.5051,48.183336,32.13069,55.332353,3.75
146,GRID_B_N_REP_6_09_02,North Grid Replicate,268,-81.457279,14.023205,45.507538,34.686038,14724,15137,24.005764,20110609, 17:47:57.9510,48.1510027,-122.6875899,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.09_c.EV,-999,1,1,1.48304E-07,-9999,199.178015,-9999,3.25353E-07,-64.87644561,0,Unassigned,100,-40,1,11159.31173,11159.31173,45.507538,31.686038,53.93289,3.75
174,GRID_B_N_NIGHT_6_09_02,North Grid Night,268,-74.596525,73.205936,48.944848,35.2842,29927,30409,45.275827,20110609, 22:05:25.4200,48.15094688,-122.6877714,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.09_c.EV,-999,1,1,4.86611E-07,-9999,199.178015,-9999,1.69846E-06,-57.69945537,0,Unassigned,100,-40,1,58255.4328,58255.4328,48.944848,32.2842,55.971357,3.75
144,GRID_B_N_6_11_02,North Grid,271,-76.577368,42.837431,45.192711,35.645363,11821,12199,21.068614,20110611, 13:41:24.0380,48.1509928,-122.6877585,C:\Users\JPeraza\Documents\UW Summer 2022\EV Files\Mobile\Turbulence Removed\NR.June.11_c.EV,-999,1,1,9.23408E-07,-9999,199.178015,-9999,9.93875E-07,-60.0266842,0,Unassigned,100,-40,1,34088.94415,34088.94415,45.192711,32.645363,54.611458,3.75
